open,high,low,close,volume
25640.9,25644.3,25619.4,25633.3,83925
25632,25635,25617.2,25624,74325
25623,25636.3,25623,25625,41775
25625.1,25629.9,25605.5,25615,123525
25615,25627.5,25613.2,25625.9,52050
25625.2,25632,25616.4,25625,31050
25625,25625,25613.3,25617.8,24900
25617,25620,25591.8,25595,93675
25595,25600.9,25582,25595.7,90675
25595,25600.9,25586.4,25591.1,46350
25591.1,25593.9,25585,25590.4,32625
25591,25600,25586.1,25590,41100
25592,25595,25570,25582.9,95325
25582.9,25582.9,25562.9,25567.4,122775
25567.9,25571.3,25560,25568,101775
25566.2,25575,25560,25575,57675
25572,25581.3,25569.1,25580.1,207300
25580.1,25590.8,25579.1,25588,54075
25585.6,25587.8,25572.2,25575,40350
25575.4,25581,25571,25571.3,20850
25573.6,25581.2,25571,25580.2,25650
25580.2,25590,25577,25588.3,34425
25586.6,25592.2,25582.1,25590.6,36825
25589.8,25594.9,25589,25592.9,35325
25592,25593,25577.6,25584.5,36150
25584.5,25594.8,25582.6,25593.7,17250
25592,25605.4,25590.1,25596.7,45975
25596.5,25599,25588,25590.9,20250
25587.5,25591.5,25585.3,25588.9,10350
25589.3,25590,25581.1,25587.2,31425
25587.2,25590.9,25581.7,25585,18675
25587.2,25587.5,25580,25582.8,14850
25586.5,25590,25581.7,25588.2,15225
25588.2,25590,25576.3,25576.3,33075
25575.4,25582.3,25556.4,25568.4,109800
25568.4,25575,25567,25571,26550
25568.4,25585.2,25568.2,25584,66000
25581.4,25584.2,25575.5,25580,21975
25577.8,25580.9,25560.6,25561.1,22275
25560,25562.5,25546.3,25546.3,189000
25546.2,25551.3,25528,25532,215400
25538,25538,25503.3,25503.3,211950
25503.3,25517.5,25486.6,25511.8,252300
25511.8,25516.9,25505,25516.2,88875
25516.7,25517.7,25480.9,25496,158475
25492,25497.7,25480,25497.3,114375
25497.9,25506.6,25490.1,25495,56400
25494.7,25504,25486.5,25504,87675
25502.7,25505.5,25492,25498,62325
25498,25514.9,25497,25514.3,45450
25514.9,25527.5,25514.3,25521,80025
25521,25528,25514.7,25525.9,72750
25526,25526.8,25502.1,25510.2,49425
25510.2,25514.7,25502,25510,19275
25510,25515.1,25505.9,25505.9,24900
25505.9,25511.5,25500,25501.2,32325
25502.2,25514.6,25492.6,25513.1,75825
25513.1,25525,25507.2,25516,101250
25520,25523.9,25507.6,25523,53025
25523,25538.8,25519,25538.8,59325
25538.8,25556,25537.1,25554,153225
25551.7,25559,25544,25558.9,146625
25559,25559,25545,25545.7,109575
25545.6,25551,25530.7,25537.7,125850
25539,25548,25536,25538,80550
25539.9,25544,25535.6,25540,141225
25551.1,25608,25516.3,25607.4,310950
25605,25625,25536.1,25542.6,284025
25553.8,25559.4,25515.6,25516.8,184350
25517.5,25555,25517.2,25549.9,173850
25549.9,25580,25540.1,25545.7,137700
25545.4,25584.9,25540,25584.9,78150
25581.6,25607,25580,25603.7,121050
25604.3,25633.9,25589,25629,157575
25625.7,25640,25618.8,25640,135750
25638.9,25649.5,25622.8,25633.1,153975
25632,25641,25619.1,25635.6,71250
25636.3,25641,25620.4,25627,43950
25625.2,25643.4,25621.4,25625.1,78000
25628.1,25645,25621,25640.1,33750
25645,25658,25637.6,25637.6,132075
25637.6,25656.7,25637,25642.1,45375
25644.7,25652,25632.2,25638,30825
25638.7,25644.9,25632.6,25633.4,36900
25637.3,25638.9,25621.3,25633,36375
25633,25638.5,25612.3,25622.7,75675
25622.8,25624.6,25610,25612.9,30225
25619.8,25635,25615.3,25630.3,24225
25633.5,25655.3,25630.7,25654,46425
25655,25655,25638,25643.7,77850
25645,25649,25638.2,25642,31275
25644,25659.6,25641.2,25652,38250
25654,25666.7,25630,25630,81300
25631,25639.2,25626.9,25633,45075
25633,25638,25628,25633.4,22500
25633.4,25639.5,25593.3,25609,94575
25603.4,25609.1,25575,25598.5,116625
25592.6,25609,25588.7,25600,40125
25604.1,25612.9,25596.5,25604,37575
25606,25610.8,25592.9,25605.7,37200
25602,25605,25595.1,25596.1,27225
25595.2,25601.4,25590.4,25599.5,39600
25593,25599.4,25574.7,25575.4,101325
25575.1,25590,25575.1,25586,63525
25587.2,25607.6,25584,25602,43200
25601.8,25607,25590,25601.4,32325
25596,25601.3,25593.1,25596.3,27750
25600,25619.8,25596.3,25602,51225
25608.5,25615,25602,25611,13575
25611,25613.4,25603,25612.5,12525
25606.7,25612.1,25600.4,25605.3,9375
25600.3,25605,25586,25589.8,32925
25590.7,25600.2,25588,25597.6,11850
25597.6,25597.6,25588,25595.3,15975
25595.2,25597,25565.9,25585,90450
25587.8,25595,25582.2,25593.4,14925
