open,high,low,close,volume
25624.5,25631,25612.4,25625,71100
25625,25629,25620,25626.2,24525
25626.2,25633.2,25613,25617.3,39450
25613,25623.7,25609,25615.8,21750
25615.8,25623.3,25615.8,25620,11775
25620,25625,25616.9,25625,18900
25622,25628.8,25612,25625,28500
25628,25628,25616.6,25616.6,9600
25620.3,25623.7,25613,25615,11325
25616,25621.5,25610,25619.3,17550
25619.2,25625,25612.4,25615,12525
25615,25628.9,25614.2,25628.9,13950
25627,25646,25627,25633,63675
25630.3,25635,25626.4,25634.2,20250
25634,25642,25630.8,25637.8,20325
25640.8,25642.6,25634.1,25635.3,21300
25635.3,25638.8,25630.2,25630.2,12300
25630.2,25633.9,25625.3,25628,21975
25628,25630,25620.4,25625,41100
25622,25626.7,25602.8,25614,49575
25614,25619.2,25611.4,25617.6,14250
25617.6,25617.6,25610,25613,18675
25612.9,25629.5,25610.6,25627.3,56550
25627.3,25628,25621.4,25628,9375
25629,25632,25623.7,25628,16500
25628,25631,25622,25627,16275
25627.2,25632.7,25625.8,25630.3,12075
25630.1,25634,25625.9,25630,10425
25630,25632,25626.7,25632,8775
25632,25634,25618.6,25618.6,15750
25618.5,25628,25612.2,25622.4,102600
25628,25628,25621.6,25622,6525
25622.1,25624.7,25618.2,25622.8,15000
25618,25621.4,25593,25596,83775
25598.4,25610.7,25595.1,25607,51525
25607,25620,25601.6,25615.8,34350
25614.4,25620,25614.4,25615.2,23175
25620,25627.5,25614.5,25624.9,91800
25624.9,25628.3,25614.9,25620.7,37800
25620,25622,25617.3,25620,4500
25620,25620.8,25614.5,25616,5475
25616,25619.4,25611,25614.1,5775
25614.3,25620.9,25612,25619.5,9225
25615.2,25617.4,25610.4,25613.1,9075
25614,25625.3,25610.5,25623.9,25725
25618.3,25627,25615,25615,10650
25615,25616.9,25611,25611,21150
25611,25619.8,25609,25619.8,7950
25618,25624.8,25595,25605.7,27375
25605.7,25610,25594,25594,21225
25588,25599,25572.8,25581.9,95250
25580.2,25580.5,25533.4,25542,346500
25541,25573.3,25539,25571.2,106350
25565,25570,25550.1,25557,42675
25557.1,25560.1,25542.5,25547,84675
25545.6,25555,25522.8,25545,221250
25547.9,25557.8,25537.5,25557,68250
25554.6,25570,25552.3,25554.6,76200
25556.7,25564,25550,25554.4,34500
25554.4,25564.3,25554.2,25562,38475
25563.4,25567.6,25550,25550,69750
25556,25564.5,25550.9,25561.5,63375
25561.6,25565,25546.7,25550,125475
25590.8,25595.2,25538.3,25540,145575
25543.8,25543.8,25508.7,25520.1,219300
25518.1,25530,25510.3,25510.3,88125
25510.2,25520.4,25491.2,25506.3,157275
25506.3,25523.1,25495,25496.6,61800
25500,25508,25492.2,25505.4,52875
25503,25520.8,25499.1,25520.8,82200
25519.7,25521.4,25476.6,25480.9,141375
25480.5,25497,25471.9,25494.7,131025
25494.7,25499.9,25480,25485,53325
25487.5,25499,25480,25483.6,47775
25487.6,25489.3,25467,25478.3,125700
25478,25487.7,25470,25484,97875
25487.9,25492,25478,25492,41250
25490,25493.4,25481,25488.9,32250
25489.9,25496,25484,25484,45900
25488,25490,25479.5,25486,18675
25483.4,25490,25475.9,25481.6,36525
25481.6,25487,25470,25472.9,60450
25472.9,25472.9,25446,25459.4,238875
25459.4,25464,25451.3,25460.8,71475
25461,25461,25442.8,25444.8,69900
25450.5,25455,25440.2,25449.9,47925
25449.9,25463,25445,25460.9,63225
25460.9,25465,25452.2,25452.2,55575
25456.5,25457.4,25426.1,25437.5,139650
25436.9,25448.8,25430,25444.6,53625
25444.8,25451.8,25435.1,25443.6,60375
25443.5,25449.7,25434,25445.1,35250
25445.1,25448.5,25437.9,25440,24900
25440,25450,25438.1,25447.7,26100
25446.8,25450,25441,25448.8,23400
25448.8,25455.9,25436.1,25440,41700
25440,25445.6,25430,25434.3,49875
25437,25437.2,25426.7,25431.4,46875
25430.8,25441.6,25425.2,25438,38400
25436,25445.7,25433,25445.7,23550
25445.7,25467,25444,25466,55800
25465,25476.4,25453,25468.3,64875
25474,25477.9,25460,25464,44250
25464,25478,25464,25475,29325
25476.1,25476.1,25454.9,25456.6,34425
25456.6,25460,25450,25460,24675
25462.8,25470,25455.2,25460,23025
25461.4,25467.9,25460,25464.2,13650
25465.2,25467.9,25456,25456,13500
25456,25456,25445.1,25449.3,35700
25449.3,25457.1,25449.3,25451,22125
25455,25465,25450,25462,21000
25462,25468,25452,25455.1,43350
25455.3,25459.8,25450,25457.9,14550
25457.9,25468.2,25453.2,25457.4,27750
25457.3,25460,25451.1,25455.9,23475
25455.9,25456.8,25430,25430,49875
25433.7,25448,25420.2,25445,162375
25446.5,25456.7,25445,25445.1,47625
25449.8,25450,25431.2,25441.3,39750
25441.2,25457.5,25437.5,25453,26400
25453,25495,25450,25463.3,117075
25466.1,25475,25451.2,25461.8,41400
25461,25473.9,25460.5,25465,20850
25465,25474.2,25455,25461,60375
25463.1,25483.5,25461,25475,32100
25475,25482,25461.6,25468,29175
25468,25475,25463,25470,27825
25470,25474.4,25465,25472.3,43800
